run_time_kst,timeframe,symbol,inst_id,pattern
2026-09-04 08:11:02,30분봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:11:02,30분봉,CLUSDT.P,CL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:11:02,1시간봉,ETHUSDT.P,ETH-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:11:02,1시간봉,BTCUSDT.P,BTC-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:11:02,1시간봉,SOLUSDT.P,SOL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:11:02,1시간봉,TSLAUSDT.P,TSLA-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:11:02,1시간봉,MSTRUSDT.P,MSTR-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:11:02,1시간봉,AMDUSDT.P,AMD-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:13:44,15분봉,ETHUSDT.P,ETH-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:13:44,15분봉,BTCUSDT.P,BTC-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:13:44,15분봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:13:44,15분봉,XAUUSDT.P,XAU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:13:44,15분봉,PLTRUSDT.P,PLTR-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:13:44,15분봉,CLUSDT.P,CL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:13:44,15분봉,AMZNUSDT.P,AMZN-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:13:44,30분봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:13:44,30분봉,CLUSDT.P,CL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 08:13:44,1시간봉,ETHUSDT.P,ETH-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:13:44,1시간봉,BTCUSDT.P,BTC-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:13:44,1시간봉,SOLUSDT.P,SOL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:13:44,1시간봉,AMDUSDT.P,AMD-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 08:13:44,1시간봉,AVGOUSDT.P,AVGO-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,15분봉,ONDOUSDT.P,ONDO-USDT-SWAP,양봉 · 음봉 · 음봉
